COD EQ INC,DM,UT,MTBF,MTTR,R_t,PARADAS,HRS_TRAB,INTERV
EM-I-11,0.8880890410958904,0.49291780821917797,4.864452054794519,0.23018264840182648,0.33952020379198555,220.0,3598.2999999999993,929.0
SC-T-22,0.8875045662100457,0.5789589041095891,5.770068493150686,0.5041780821917808,0.3436091731681697,180.0,4226.400000000001,881.0
SC-I-08,0.8710901826484018,0.63427397260274,6.32369863013699,0.6026826484018265,0.34461706204809145,161.0,4630.200000000002,843.0
DP-I-01,0.8369543378995434,0.5357534246575343,5.352739726027397,0.8903881278538813,0.31332027881361496,159.0,3911.0,828.0
JF-I-09,0.8717203196347031,0.3296438356164384,3.284863013698631,0.5811301369863014,0.2796082292931379,158.0,2406.4,852.0
DM-I-05,0.8857154088050314,0.44949056603773574,4.482358490566036,0.3968553459119497,0.3381045552057185,132.0,2382.2999999999993,634.0
LC-I-01,0.8991328413284132,0.379889298892989,3.778782287822879,0.38219557195571957,0.2955738350578458,126.0,2059.0000000000005,648.0
LC-T-04,0.8254138321995464,0.3869727891156463,3.7443877551020415,0.9150793650793652,0.24577168742774247,124.0,1137.7,401.0
DP-T-06,0.8478551912568306,0.5541598360655741,5.526639344262295,0.8274590163934427,0.33355773501957486,123.0,2704.300000000001,576.0
DM-T-10,0.8182284382284382,0.3236013986013986,3.1854895104895102,1.2174825174825175,0.27262057856896627,107.0,925.5,372.0
MX-I-03,0.8912429775280898,0.2881039325842696,2.8810393258426954,0.505056179775281,0.2330247583824726,107.0,2051.2999999999993,781.0
JF-T-12,0.8455545343137254,0.32323529411764707,3.2068627450980394,0.771936274509804,0.2642433513739168,102.0,879.1999999999999,352.0
